Differences
"['6606797', '31662', 'CATEGORY_CONDITIONS_FAILED']","['6681100', '101', 'risky_profile_age_new_user']"
"['6681100', '101', 'risky_profile_age_new_user']","['7482284', '105', 'intentScore calculation pending']"
"['7482284', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['7531154', '251771', 'SMS_USER_CONSENT_NOT_PRESENT']"
"['7531154', '251771', 'SMS_USER_CONSENT_NOT_PRESENT']","['7612552', '105', 'intentScore calculation pending']"
"['7612552', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['7707701', '105', 'intentScore calculation pending']"
"['7707701', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['7769836', '251771', 'NO_EXPERIAN__NO_EXPERIAN_CONSENT']"
"['7769836', '251771', 'NO_EXPERIAN__NO_EXPERIAN_CONSENT']","['8144840', '105', 'intentScore calculation pending']"
"['8144840', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['8345904', '105', 'intentScore calculation pending']"
"['8345904', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['8441994', '105', 'intentScore calculation pending']"
"['8441994', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['8699847', '105', 'intentScore calculation pending']"
"['8699847', '110', 'REJECTED_BY_CATEGORY_AGG_QUERY']","['8767861', '105', 'intentScore calculation pending']"
"['8767861', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['8808387', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['8808387', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['9241666', '103', 'risky_full_experian_overdue_wilful_settled_acc_last_3_years']"
"['9241666', '103', 'risky_full_experian_overdue_wilful_settled_acc_last_3_years']","['9319379', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['9319379', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['9384849', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['9384849', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['9422434', '251771', 'SMS_USER_CONSENT_NOT_PRESENT']"
"['9422434', '251771', 'SMS_USER_CONSENT_NOT_PRESENT']","['9490311', '107', 'BANK_STMT_REQUIRED']"
"['9490311', '107', 'BANK_STMT_REQUIRED']","['9855221', '110', 'ERROR_ENCOUNTER_IN_CAPACITY']"
"['9855221', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['9877539', '105', 'intentScore calculation pending']"
"['9877539', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['10009340', '113', 'risky_overdue_sms']"
"['10009340', '113', 'risky_overdue_sms']","['10011625', '103', 'risky_overdue_wilful_settled_acc_last_5_years_experian']"
"['10011625', '103', 'risky_overdue_wilful_settled_acc_last_5_years_experian']","['10292419', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['10292419', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['10470122', '105', 'intentScore calculation pending']"
"['10470122', '112', 'MAX_EMI_LIMIT_EXCEEDED']","['10804165', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['10804165', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['10920309', '105', 'intentScore calculation pending']"
"['10920309', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['10945765', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['10945765', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['10955385', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['10955385', '110', 'REJECTED_BY_CATEGORY_AGG_QUERY']","['11206546', '105', 'intentScore calculation pending']"
"['11206546', '112', 'MAX_EMI_LIMIT_EXCEEDED']","['11423757', '112', 'MAX_EMI_LIMIT_EXCEEDED']"
"['11423757', '112', 'MAX_EMI_LIMIT_EXCEEDED']","['11465546', '105', 'intentScore calculation pending']"
"['11465546', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['11473677', '105', 'intentScore calculation pending']"
"['11473677', '112', 'MAX_EMI_LIMIT_EXCEEDED']","['11609394', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['11609394', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['11626305', '107', 'BANK_STMT_REQUIRED']"
"['11626305', '107', 'BANK_STMT_REQUIRED']","['11973727', '105', 'intentScore calculation pending']"
"['11973727', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['12004159', '105', 'intentScore calculation pending']"
"['12004159', '110', 'REJECTED_BY_CATEGORY_AGG_QUERY']","['12217311', '105', 'intentScore calculation pending']"
"['12217311', '112', 'MAX_EMI_LIMIT_EXCEEDED']","['12236266', '112', 'MAX_EMI_LIMIT_EXCEEDED']"
"['12236266', '112', 'MAX_EMI_LIMIT_EXCEEDED']","['12732379', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['12732379', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['12751106', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['12751106', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['12764102', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['12764102', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['12959261', '110', 'REJECTED_BY_CATEGORY_AGG_QUERY']"
"['12959261', '110', 'REJECTED_BY_CATEGORY_AGG_QUERY']","['13021745', '105', 'intentScore calculation pending']"
"['13021745', '103', 'NEW_Chronic_trimming_Signal']","['13095760', '105', 'intentFeature calculation pending']"
"['13095760', '110', 'REJECTED_BY_CATEGORY_AGG_QUERY']","['13318212', '31662', 'CATEGORY_CONDITIONS_FAILED']"
"['13318212', '31662', 'CATEGORY_CONDITIONS_FAILED']","['13404074', '105', 'intentScore calculation pending']"
"['13404074', '112', 'MAX_EMI_LIMIT_EXCEEDED']","['13468310', '107', 'BANK_STMT_REQUIRED']"
"['13468310', '107', 'BANK_STMT_REQUIRED']","['13485796', '105', 'intentScore calculation pending']"
"['13485796', '103', 'NEW_Chronic_trimming_Signal']","['13512011', '107', 'BANK_STMT_REQUIRED']"
"['13512011', '107', 'BANK_STMT_REQUIRED']","['13563238', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['13563238', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['13651925', '110', 'Default Reject value -111 found for capacity Feature Capacity_Amount_Level1']"
"['13651925', '110', 'Default Reject value -111 found for capacity Feature Capacity_Amount_Level1']","['13760033', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['13760033', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['13807993', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['13807993', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['13848224', '112', 'MAX_EMI_LIMIT_EXCEEDED']"
"['13848224', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['13884261', '105', 'intentScore calculation pending']"
"['13884261', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['14028957', '105', 'intentFeature calculation pending']"
"['14028957', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['14135638', '105', 'intentScore calculation pending']"
"['14135638', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['14139544', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['14139544', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['14151915', '110', 'ERROR_ENCOUNTER_IN_CAPACITY']"
"['14151915', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['14317781', '251771', 'NO_EXPERIAN__NO_EXPERIAN_CONSENT']"
"['14317781', '251771', 'NO_EXPERIAN__NO_EXPERIAN_CONSENT']","['14378499', '105', 'intentScore calculation pending']"
"['14378499', '105', 'intentFeature calculation pending']","['14519140', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['14519140', '105', 'intentFeature calculation pending']","['14520204', '105', 'intentScore calculation pending']"
"['14520204', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['14523139', '105', 'intentScore calculation pending']"
"['14523139', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['14535559', '105', 'intentScore calculation pending']"
"['14535559', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['14599506', '31662', 'CATEGORY_CONDITIONS_FAILED']"
"['14599506', '31662', 'CATEGORY_CONDITIONS_FAILED']","['14668615', '107', 'BANK_STMT_REQUIRED']"
"['14668615', '107', 'BANK_STMT_REQUIRED']","['14910735', '110', 'REJECTED_BY_CATEGORY_AGG_QUERY']"
"['14910735', '110', 'REJECTED_BY_CATEGORY_AGG_QUERY']","['15038800', '105', 'intentScore calculation pending']"
"['15038800', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['15223699', '105', 'intentFeature calculation pending']"
"['15223699', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['15240086', '105', 'intentScore calculation pending']"
"['15240086', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['15347826', '107', 'BANK_STMT_REQUIRED']"
"['15347826', '107', 'BANK_STMT_REQUIRED']","['15348715', '105', 'intentScore calculation pending']"
"['15348715', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['15385769', '101', 'risky_admin_max_dpd_on_payment']"
"['15385769', '101', 'risky_admin_max_dpd_on_payment']","['15410200', '105', 'intentScore calculation pending']"
"['15410200', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['15502098', '105', 'intentScore calculation pending']"
"['15502098', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['15506140', '107', 'BANK_STMT_REQUIRED']"
"['15506140', '107', 'BANK_STMT_REQUIRED']","['15567779', '110', 'REJECTED_BY_CATEGORY_AGG_QUERY']"
"['15567779', '110', 'REJECTED_BY_CATEGORY_AGG_QUERY']","['15641506', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['15641506', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['15651586', '31662', 'CATEGORY_CONDITIONS_FAILED']"
"['15651586', '31662', 'CATEGORY_CONDITIONS_FAILED']","['15736396', '110', 'REJECTED_BY_CATEGORY_AGG_QUERY']"
"['15736396', '110', 'REJECTED_BY_CATEGORY_AGG_QUERY']","['15829250', '251771', 'PENDING_USER_INCOME_SMS__INCOME_FETCHED_BEFORE_1_DAYS']"
"['15829250', '31662', 'CATEGORY_CONDITIONS_FAILED']","['15861059', '100', 'repeated rejection']"
"['15861059', '100', 'repeated rejection']","['16163063', '31662', 'CATEGORY_CONDITIONS_FAILED']"
"['16163063', '31662', 'CATEGORY_CONDITIONS_FAILED']","['16169248', '113', 'risky_overdue_sms']"
"['16169248', '113', 'risky_overdue_sms']","['16217907', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['16217907', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['16338405', '105', 'intentScore calculation pending']"
"['16338405', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['16368321', '31662', 'CATEGORY_CONDITIONS_FAILED']"
"['16368321', '31662', 'CATEGORY_CONDITIONS_FAILED']","['16390582', '105', 'intentScore calculation pending']"
"['16390582', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['16457131', '25031', 'null']"
"['16457131', '105', 'intentScore calculation pending']","['16547192', '105', 'intentScore calculation pending']"
"['16547192', '110', 'Default Reject value -555 found for capacity Feature Capacity_Amount_Level1']","['16591868', '251771', 'NO_EXPERIAN__NO_EXPERIAN_CONSENT']"
"['16591868', '251771', 'NO_EXPERIAN__NO_EXPERIAN_CONSENT']","['16666070', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['16666070', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['16739749', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['16739749', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['16783403', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['16783403', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['16904861', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['16904861', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['16922968', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['16922968', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['17073199', '31662', 'CATEGORY_CONDITIONS_FAILED']"
"['17066071', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['17108062', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['17073199', '31662', 'CATEGORY_CONDITIONS_FAILED']","['17201534', '105', 'intentScore calculation pending']"
"['17108062', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['17251049', '113', 'risky_overdue_sms']"
"['17201534', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['17294129', '105', 'intentScore calculation pending']"
"['17251049', '113', 'risky_overdue_sms']","['17296587', '110', 'Default Reject value -111 found for capacity Feature Capacity_Amount_Level1']"
"['17294129', '31662', 'CATEGORY_NULL']","['17417722', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['17296587', '110', 'Default Reject value -111 found for capacity Feature Capacity_Amount_Level1']","['17425734', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['17417722', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['17462654', '105', 'intentScore calculation pending']"
"['17425734', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['17493158', '103', 'risky_overdue_wilful_settled_acc_last_5_years_experian']"
"['17462654', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['17662904', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['17493158', '103', 'risky_overdue_wilful_settled_acc_last_5_years_experian']","['17814190', '251771', 'PENDING_USER_INCOME_SMS__INCOME_FETCHED_BEFORE_1_DAYS']"
"['17662904', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['17852997', '105', 'intentScore calculation pending']"
"['17814190', '113', 'risky_overdue_sms']","['17898697', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['17852997', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['17899426', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['17898697', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['17919415', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['17899426', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['17944734', '105', 'intentScore calculation pending']"
"['17919415', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['17986631', '105', 'intentScore calculation pending']"
"['17944734', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['17987718', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['17986631', '110', 'Default Reject value -111 found for capacity Feature Capacity_Amount_Level1']","['18076555', '113', 'risky_apps_feature']"
"['17987718', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['18264248', '31662', 'CATEGORY_CONDITIONS_FAILED']"
"['18076555', '113', 'risky_apps_feature']","['18268085', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['18264248', '31662', 'CATEGORY_CONDITIONS_FAILED']","['18320311', '31662', 'CATEGORY_CONDITIONS_FAILED']"
"['18268085', '110', 'Default Reject value -111 found for capacity Feature Capacity_Amount_Level1']","['18550873', '106', 'BAND_NOT_FOUND']"
"['18320311', '31662', 'CATEGORY_CONDITIONS_FAILED']","['18552636', '105', 'intentScore calculation pending']"
"['18550873', '103', 'NEW_Chronic_trimming_Signal']","['18561776', '105', 'intentScore calculation pending']"
"['18552636', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['18991008', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['18561776', '105', 'intentScore calculation pending']","['19164375', '31662', 'CATEGORY_CONDITIONS_FAILED']"
"['18991008', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['19334586', '31662', 'CATEGORY_CONDITIONS_FAILED']"
"['19164375', '31662', 'CATEGORY_CONDITIONS_FAILED']","['19380403', '105', 'intentScore calculation pending']"
"['19334586', '31662', 'CATEGORY_CONDITIONS_FAILED']","['19528800', '113', 'risky_overdue_sms']"
"['19380403', '113', 'risky_apps_feature']","['19642206', '105', 'intentScore calculation pending']"
"['19528800', '113', 'risky_overdue_sms']","['19666676', '103', 'risky_experian_acc_and_sms_overdue']"
"['19642206', '103', 'risky_experian_acc_and_sms_overdue']","['19674311', '105', 'intentScore calculation pending']"
"['19666676', '103', 'risky_experian_acc_and_sms_overdue']","['19747285', '31662', 'CATEGORY_CONDITIONS_FAILED']"
"['19674311', '106', 'BAND_NOT_FOUND']","['19893941', '31662', 'CATEGORY_CONDITIONS_FAILED']"
"['19747285', '31662', 'CATEGORY_CONDITIONS_FAILED']","['20135095', '105', 'intentFeature calculation pending']"
"['19893941', '31662', 'CATEGORY_CONDITIONS_FAILED']","['20222623', '103', 'risky_overdue_wilful_settled_acc_last_5_years_experian']"
"['20135095', '112', 'MAX_ECL_V2_EXCEEDED_BY_AMOUNT_CONFIG']","['20247472', '103', 'risky_experian_data_match_scorecard']"
"['20222623', '103', 'risky_overdue_wilful_settled_acc_last_5_years_experian']","['20273169', '105', 'intentScore calculation pending']"
"['20247472', '103', 'risky_experian_data_match_scorecard']","['20284548', '251771', 'PENDING_USER_INCOME_SMS__INCOME_FETCHED_BEFORE_1_DAYS']"
"['20273169', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['20288105', '113', 'risky_apps_feature']"
"['20284548', '106', 'BAND_NOT_FOUND']","['20332767', '251771', 'SMS_USER_CONSENT_NOT_PRESENT']"
"['20288105', '113', 'risky_apps_feature']","['20343809', '105', 'intentScore calculation pending']"
"['20332767', '251771', 'SMS_USER_CONSENT_NOT_PRESENT']","['20349879', '31662', 'CATEGORY_CONDITIONS_FAILED']"
"['20343809', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['20364170', '31662', 'CATEGORY_CONDITIONS_FAILED']"
"['20349879', '31662', 'CATEGORY_CONDITIONS_FAILED']","['20500519', '101', 'risky_profile_employment_status']"
"['20364170', '113', 'risky_apps_feature']","['20515659', '105', 'intentScore calculation pending']"
"['20500519', '101', 'risky_profile_employment_status']","['20520702', '113', 'risky_overdue_sms']"
"['20515659', '106', 'BAND_NOT_FOUND']","['20586680', '105', 'intentScore calculation pending']"
"['20520702', '113', 'risky_overdue_sms']","['20709358', '100', 'repeated rejection']"
"['20586680', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['20710160', '107', 'BANK_STMT_REQUIRED']"
"['20709358', '100', 'repeated rejection']","['20724783', '101', 'risky_profile_employment_status']"
"['20710160', '107', 'BANK_STMT_REQUIRED']","['20729689', '103', 'risky_full_experian_max_dpd_over_last_12_month']"
"['20724783', '101', 'risky_profile_employment_status']","['20752868', '105', 'intentScore calculation pending']"
"['20729689', '103', 'risky_full_experian_max_dpd_over_last_12_month']","['20779440', '25031', 'null']"
"['20752868', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['20847963', '105', 'intentScore calculation pending']"
"['20779440', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['20853260', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['20847963', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['20940590', '101', 'risky_profile_age_new_user']"
"['20853260', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['21061369', '105', 'intentScore calculation pending']"
"['20940590', '101', 'risky_profile_age_new_user']","['21072382', '106', 'BAND_NOT_FOUND']"
"['21061369', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['21079448', '105', 'intentScore calculation pending']"
"['21072382', '106', 'BAND_NOT_FOUND']","['21080074', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['21079448', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['21135134', '105', 'intentScore calculation pending']"
"['21080074', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['21147294', '105', 'intentScore calculation pending']"
"['21135134', '113', 'risky_apps_feature']","['21158505', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['21147294', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['21165539', '100', 'repeated rejection']"
"['21158505', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['21182893', '101', 'risky_profile_employment_status']"
"['21165539', '100', 'repeated rejection']","['21192507', '101', 'risky_profile_employment_status']"
"['21182893', '101', 'risky_profile_employment_status']","['21192966', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['21192507', '101', 'risky_profile_employment_status']","['21193139', '101', 'risky_profile_age_new_user']"
"['21192966', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['21193536', '105', 'intentScore calculation pending']"
"['21193139', '101', 'risky_profile_age_new_user']","['21193630', '110', 'REJECTED_BY_CATEGORY_AGG_QUERY']"
"['21193536', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['21194138', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['21193630', '110', 'REJECTED_BY_CATEGORY_AGG_QUERY']","['21194186', '107', 'BANK_STMT_REQUIRED']"
"['21194138', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['21196007', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['21194186', '107', 'BANK_STMT_REQUIRED']","['21197096', '101', 'risky_profile_monthly_income']"
"['21196007', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['21197240', '101', 'risky_profile_age_new_user']"
"['21197096', '101', 'risky_profile_monthly_income']","['21198113', '105', 'intentScore calculation pending']"
"['21197240', '101', 'risky_profile_age_new_user']","['21198321', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['21198113', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['21198694', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['21198321', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['21199442', '107', 'BANK_STMT_REQUIRED']"
"['21198694', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['21199444', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['21199442', '107', 'BANK_STMT_REQUIRED']","['21199518', '101', 'risky_profile_employment_status']"
"['21199444', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['21199566', '107', 'BANK_STMT_REQUIRED']"
"['21199518', '101', 'risky_profile_employment_status']","['21199842', '105', 'intentScore calculation pending']"
"['21199566', '107', 'BANK_STMT_REQUIRED']","['21200344', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['21199842', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['21200626', '105', 'intentScore calculation pending']"
"['21200344', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['21200636', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['21200626', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['21200700', '101', 'risky_profile_age_new_user']"
"['21200636', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['21200757', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['21200700', '101', 'risky_profile_age_new_user']","['21200780', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['21200757', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['21200795', '107', 'BANK_STMT_REQUIRED']"
"['21200780', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['21200885', '105', 'intentScore calculation pending']"
"['21200795', '107', 'BANK_STMT_REQUIRED']","['21200914', '107', 'BANK_STMT_REQUIRED']"
"['21200885', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['21200944', '101', 'risky_profile_monthly_income']"
"['21200914', '107', 'BANK_STMT_REQUIRED']","['21200947', '101', 'risky_profile_employment_status']"
"['21200944', '101', 'risky_profile_employment_status']","['21201037', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['21200947', '101', 'risky_profile_employment_status']","['21201041', '103', 'risky_overdue_wilful_settled_acc_last_5_years_experian']"
