Differences
"['447113', '112', 'MAX_EMI_LIMIT_EXCEEDED']","['447113', '105', 'intentScore calculation pending']"
"['875629', '105', 'intentScore calculation pending']","['875629', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']"
"['1174174', '110', 'REJECTED_BY_CATEGORY_AGG_QUERY']","['1174174', '105', 'intentScore calculation pending']"
"['2384160', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['2384160', '25031', 'null']"
"['2704838', '251771', 'NO_EXPERIAN__OTP_UNVERIFIED']","['2704838', '251771', 'EXPERIAN_FETCH_PENDING']"
"['2964729', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['2964729', '105', 'intentFeature calculation pending']"
"['3048675', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['3048675', '105', 'intentScore calculation pending']"
"['3557772', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['3557772', '105', 'intentFeature calculation pending']"
"['3933857', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['3933857', '105', 'intentScore calculation pending']"
"['4495862', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['4495862', '105', 'intentScore calculation pending']"
"['5373290', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['5373290', '105', 'intentScore calculation pending']"
"['6056501', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['6056501', '105', 'intentScore calculation pending']"
"['6213327', '112', 'MAX_EMI_LIMIT_EXCEEDED']","['6213327', '105', 'intentScore calculation pending']"
"['6229599', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['6540533', '25031', 'null']"
"['6540533', '110', 'Default Reject value -222 found for capacity Feature Capacity_Amount_Level1']","['6560582', '101', 'risky_admin_max_dpd_on_payment']"
"['6560582', '101', 'risky_admin_max_dpd_on_payment']","['6592785', '251771', 'NO_EXPERIAN__NO_EXPERIAN_CONSENT']"
"['6592785', '251771', 'NO_EXPERIAN__NO_EXPERIAN_CONSENT']","['6606797', '31662', 'CATEGORY_CONDITIONS_FAILED']"
